Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
132,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,120/24,556,627,9.2 ,KIMS,7068
133,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,150/8,583,620,5.4 ,KIMS,7068
134,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,150/8,583,623,5.7 ,KIMS,7068
135,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,150/8,584,621,6.4 ,KIMS,7068
136,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,150/8,583,620,6.9 ,KIMS,7068
137,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,150/8,586,622,6.0 ,KIMS,7068
138,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,,,367,500,18.5 ,KIMS,7068
139,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,,,315,458,19.6 ,KIMS,7068
140,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,,,327,500,19.6 ,KIMS,7068
141,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,,,367,531,19.6 ,KIMS,7068
142,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,,160,408,41.7 ,KIMS,7068
143,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,,167,408,39.8 ,KIMS,7068
144,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,,188,424,39.2 ,KIMS,7068
145,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,,190,420,40.5 ,KIMS,7068
146,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,,204,431,35.3 ,KIMS,7068
147,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,120/24,529,623,22.1 ,KIMS,7068
148,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,120/24,530,629,20.4 ,KIMS,7068
149,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,120/24,531,624,19.2 ,KIMS,7068
150,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,120/24,538,632,19.0 ,KIMS,7068
151,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,120/24,532,623,20.2 ,KIMS,7068
152,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,150/8,581,632,13.3 ,KIMS,7068
153,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,150/8,582,634,14.7 ,KIMS,7068
154,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,150/8,578,633,17.4 ,KIMS,7068
155,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,150/8,572,630,14.8 ,KIMS,7068
156,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,470/24,O,470/24,150/8,572,625,12.5 ,KIMS,7068
157,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,,354,469,8.7 ,Commercial,7068
158,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,,351,462,8.5 ,Commercial,7068
159,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,,352,467,9.6 ,Commercial,7068
160,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,,356,491,12.6 ,Commercial,7068
161,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,,351,477,11.0 ,Commercial,7068
162,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,120/24,499,538,1.6 ,Commercial,7068
163,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,120/24,494,515,1.2 ,Commercial,7068
164,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,120/24,509,545,1.3 ,Commercial,7068
165,8.70 ,2.80 ,1.90 ,0.020 ,0.040 ,0.070 ,0.010 ,,O,,X,470/24,150/8,554,558,1.0 ,Commercial,7068
